,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent32,0.7249787219,0.38687758905426334,1.2559706239349997,319.1666666666667,60,55,5,0
Agent25,0.7233430369116665,0.26995833377572237,0.9973202040850001,1373.7666666666667,60,44,16,0
Agent68,0.6997114661333332,0.38884731494907304,1.2947581608883332,1325.55,60,58,2,0
Agent27,0.6860271408866666,0.431230340533383,1.3429353769799994,403.8333333333333,60,59,1,0
Agent33,0.6702695149150001,0.46765611558853937,1.2956417922183328,607.9166666666666,60,53,7,0
Agent2,0.6608315706799999,0.40597671359757537,1.3221192284966672,1115.4333333333334,60,58,2,0
Agent29,0.6556184636133331,0.4928407458202794,1.4320894875599992,666.6166666666667,60,60,0,0
Agent24,0.6545924047949999,0.36316963268638314,1.2424682589216671,1209.8,60,56,4,0
Agent67,0.6350019310916667,0.4135573126912782,1.2829333305416666,807.6666666666666,60,56,4,0
Agent41,0.6308764876950002,0.42942044729857615,1.2612536083516663,861.9,60,54,6,0
Agent3,0.6280256133183328,0.4178871071063415,1.3449026155899995,1458.3,60,58,2,0
Agent18,0.6237264544899997,0.47881694876523234,1.3143863795016666,834.8666666666667,60,53,7,0
Agent14,0.586583723303333,0.4637118621935473,1.3290147752333328,782.5333333333333,60,55,5,0
Agent61,0.5748164387933332,0.3879668877771086,1.2172801530866662,1052.3,60,54,6,0
Agent64,0.5483658317466665,0.34437436397237603,1.1558038987416668,83.18333333333334,60,51,9,0
Agent22,0.5293440051733331,0.4329203521697865,1.3753477167616666,572.6333333333333,60,60,0,0
