,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.7562882837383331,0.2787571563010177,1.0391039504000004,1337.9166666666667,60,46,14,0
Agent32,0.7370719421633335,0.42005025090200904,1.3180146279449996,312.68333333333334,60,57,3,0
Agent68,0.7119083526066665,0.3861854319257029,1.305001615839999,1216.8,60,59,1,0
Agent67,0.6816997377549999,0.4100450814244233,1.2882978885150003,785.4166666666666,60,57,3,0
Agent27,0.6800020796133333,0.41497243397128886,1.317245417881666,408.3833333333333,60,58,2,0
Agent33,0.6756090041449999,0.460774243528325,1.2752540754583321,595.9166666666666,60,52,8,0
Agent3,0.6631417148999997,0.4137717529078309,1.335406582411666,1397.9,60,58,2,0
Agent29,0.6507524043999998,0.49160807368394066,1.4291207630649994,656.15,60,60,0,0
Agent41,0.6455319562899999,0.42131270974105317,1.2732980068866662,881.9166666666666,60,55,5,0
Agent2,0.6426656435449999,0.4154266347499251,1.3293874996666666,1085.6666666666667,60,58,2,0
Agent18,0.6243295767149999,0.4753578953757748,1.3090209229099996,803.05,60,53,7,0
Agent24,0.6220883831200001,0.3629620028820267,1.25120430416,1179.7666666666667,60,57,3,0
Agent64,0.5652320537783333,0.3469513487605702,1.2153827104600003,83.51666666666667,60,54,6,0
Agent61,0.55967401283,0.3990099741164925,1.219098248721666,1029.6833333333334,60,53,7,0
Agent14,0.5519947292949999,0.4378811366929128,1.2933332723933328,811.0166666666667,60,54,6,0
Agent22,0.5031621537083332,0.42012331640924844,1.344134170491667,512.75,60,59,1,0
