,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent68,0.7719431313516666,0.39003470122874057,1.3332942058516664,942.5166666666667,60,60,0,0
Agent25,0.723219763103333,0.2681018528390825,0.9950824608433335,1331.2833333333333,60,44,16,0
Agent32,0.7102497191966666,0.38112512887567035,1.2307986322416666,316.23333333333335,60,54,6,0
Agent24,0.6981012540199998,0.3548340287334449,1.2638114534249993,1175.55,60,58,2,0
Agent41,0.6972689064566666,0.4633610148368289,1.3544848750716663,872.3333333333334,60,57,3,0
Agent33,0.6912923842366666,0.494908184934347,1.3585567232233333,590.6,60,55,5,0
Agent67,0.6587654963999998,0.42678660984030203,1.3241000020633327,816.6833333333333,60,58,2,0
Agent2,0.6581371122383334,0.4049007311292461,1.3209738954483332,1084.0,60,58,2,0
Agent27,0.6561480566566665,0.42371735982841957,1.354537352015,403.5833333333333,60,60,0,0
Agent29,0.6442540305933329,0.4913793073262419,1.4291557800966663,656.7666666666667,60,60,0,0
Agent3,0.6326695285599995,0.4151868477254976,1.3560036068433328,1392.4,60,60,0,0
Agent61,0.611048185645,0.40405316254488494,1.2686328000466667,1032.1333333333334,60,56,4,0
Agent18,0.5974836692233332,0.45373712070020594,1.3032089645749998,814.7333333333333,60,54,6,0
Agent14,0.5907682336233331,0.46362411164917355,1.3475376332433329,782.3833333333333,60,56,4,0
Agent64,0.5722080231316666,0.351136484030998,1.2259956196850001,84.33333333333333,60,54,6,0
Agent22,0.49848380703166656,0.4181252412838628,1.3579085982633334,508.1333333333333,60,60,0,0
