,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent32,0.7497502662671879,0.41113941815329846,1.3098129400265628,267.78125,64,61,3,0
Agent25,0.7408778196015622,0.2608437160399041,1.0051847215562504,1137.984375,64,48,16,0
Agent33,0.6998992131703126,0.4852897225660664,1.3458896991656244,520.484375,64,59,5,0
Agent41,0.6850149491515622,0.43351167059727147,1.3013224635093747,779.109375,64,60,4,0
Agent2,0.6792253621171875,0.41137328469131385,1.3348307970328126,975.796875,64,63,1,0
Agent27,0.6620802596624998,0.43582996347374486,1.3302367671765623,364.359375,64,61,3,0
Agent29,0.6550419425156249,0.4936316333945643,1.4289301114046868,561.890625,64,64,0,0
Agent68,0.6524285616250001,0.3393714461495267,1.1628082584234376,999.734375,64,56,8,0
Agent24,0.6455609816234376,0.3837880982297494,1.264750534692187,1006.390625,64,60,4,0
Agent67,0.6279639010359376,0.4125998942053937,1.2695795668359375,729.75,64,59,5,0
WolfpackAgent,0.6192025345046874,0.47004423236946463,1.360687888542187,104.921875,64,59,5,0
Agent3,0.6062472219421869,0.4165355507421626,1.3018102056703122,1127.53125,64,60,4,0
Agent18,0.5924487260468748,0.427768955995596,1.203905613842187,711.765625,64,53,11,0
Agent61,0.5816790341890625,0.3925562637497593,1.2146113065171873,838.1875,64,57,7,0
Agent14,0.5665554414031246,0.446452028258744,1.305836894814062,652.296875,64,58,6,0
Agent64,0.5402440567734373,0.3330172100648014,1.1469685455984377,72.140625,64,54,10,0
Agent22,0.5341557780156247,0.4388543794272288,1.3895857844828126,457.21875,64,64,0,0
