,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent32,0.7354910567765625,0.41334869464002755,1.324419506192187,299.015625,64,62,2,0
Agent33,0.6981134653890625,0.493467738436496,1.3538152199218745,563.734375,64,59,5,0
Agent27,0.6933040775546874,0.41831703947520127,1.3359382588015625,386.5,64,63,1,0
Agent24,0.6850921973874998,0.3869512635677873,1.3029147291640624,1067.359375,64,63,1,0
Agent68,0.6830456463749998,0.3821945922848251,1.2614541417937495,1048.0625,64,60,4,0
Agent25,0.6784455261640624,0.2569972692656186,0.9391556800140626,1255.171875,64,44,20,0
Agent67,0.6575216607453124,0.4185875206192183,1.3095872019218748,800.125,64,61,3,0
Agent2,0.6512923263437499,0.3984049840804918,1.2794723301515627,1011.5,64,59,5,0
Agent29,0.6461887267484372,0.48802375577120916,1.4229616613015623,617.90625,64,64,0,0
Agent41,0.6434231019078127,0.41683927785800734,1.2434087146312498,834.75,64,57,7,0
Agent18,0.6196700077796874,0.4589140368560152,1.2573978488265622,753.546875,64,54,10,0
Agent3,0.6168012511109373,0.40613692847457866,1.2878572883796873,1310.78125,64,59,5,0
Agent61,0.6071077528953125,0.4139569215049671,1.2547449069890617,977.21875,64,58,6,0
LoneWolfAgent,0.5930179682328122,0.4525186669189192,1.281177383257812,122.6875,64,55,9,0
Agent64,0.562598691215625,0.3510140727840231,1.2043960658125001,81.546875,64,57,7,0
Agent14,0.5565549985609374,0.44421037081928605,1.272601510801562,748.953125,64,56,8,0
Agent22,0.4908793138499999,0.405500816323642,1.3057930901140622,456.609375,64,61,3,0
