,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent68,0.7272964157124998,0.387343365231408,1.2766009780749994,1107.546875,64,61,3,0
Agent33,0.7101106077531246,0.4964569566303216,1.3621443131687494,587.5625,64,59,5,0
Agent67,0.6850001342562498,0.42828167684950585,1.3173948384859369,771.5625,64,61,3,0
Agent32,0.6793023522609376,0.3915608886309278,1.2569778738812498,309.0,64,59,5,0
Agent29,0.6613683908390622,0.49840944278869026,1.4366334179578117,624.46875,64,64,0,0
Agent41,0.6613001087515624,0.40981480772800016,1.2465432530406246,801.421875,64,58,6,0
Agent25,0.6601739304078124,0.24465630393200666,0.9088256478171874,1284.453125,64,43,21,0
Agent27,0.6481374117624997,0.42312241941880663,1.329618360428124,390.90625,64,62,2,0
Agent18,0.6417812106249998,0.4811627425534388,1.336829214464062,800.203125,64,58,6,0
Agent3,0.6345267824265625,0.43191694414914816,1.3700590707828126,1344.1875,64,63,1,0
Agent2,0.6330335092671876,0.39094779653815803,1.2402524359515623,1040.375,64,57,7,0
LoneWolfAgent,0.6089330566953122,0.45389624653545246,1.3127775760421874,123.34375,64,57,7,0
Agent24,0.605649843215625,0.35920517257509976,1.1804551332999995,1099.421875,64,56,8,0
Agent61,0.5831819793890624,0.3877276849793001,1.2137862747390622,983.9375,64,57,7,0
Agent64,0.5809209638531249,0.33153422966832485,1.165806152603125,82.125,64,56,8,0
Agent14,0.5613168226343748,0.4463233512719961,1.274131938535937,758.8125,64,56,8,0
Agent22,0.5085617947390624,0.41928575979223753,1.3523541499046878,477.859375,64,63,1,0
