,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent32,0.7482470386109378,0.41461869685464625,1.3153420479703122,305.765625,64,61,3,0
Agent68,0.7416666355312499,0.4068783075504749,1.3436754561671873,1281.578125,64,64,0,0
Agent25,0.7237592085812498,0.26932566100392924,0.9975448013171877,1322.921875,64,47,17,0
Agent27,0.6945043488937498,0.4451530168483868,1.3554837552187498,394.1875,64,62,2,0
Agent33,0.6891448180515627,0.4860062773674464,1.3450013558734373,594.421875,64,59,5,0
Agent2,0.6750971126812497,0.418780276537954,1.3511970793781256,1056.78125,64,63,1,0
Agent41,0.6614277965796875,0.448976608904679,1.302425820689062,803.953125,64,58,6,0
Agent24,0.6579503961015625,0.3736090346165334,1.246191215429688,1131.078125,64,59,5,0
Agent67,0.6460860031203122,0.41101487032842865,1.2740066166328121,756.546875,64,59,5,0
Agent3,0.6456099198031248,0.4230278604860935,1.3613502966156248,1385.296875,64,63,1,0
Agent29,0.6436319312874998,0.4766108154226803,1.4058820317468748,630.28125,64,64,0,0
LoneWolfAgent,0.6199010525078124,0.4619164139913125,1.3254739645140623,123.578125,64,58,6,0
Agent61,0.6114685777015624,0.4347072702133823,1.2824987725296868,1007.703125,64,58,6,0
Agent18,0.5942204614953123,0.4397047545617821,1.2194575020515621,772.578125,64,53,11,0
Agent64,0.562679645940625,0.34935499609017134,1.1892813846875,82.59375,64,56,8,0
Agent14,0.5480800574234374,0.438123923063635,1.2659855201312498,747.734375,64,56,8,0
Agent22,0.5129557314812498,0.4238804768516071,1.37206385063125,540.53125,64,64,0,0
