,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent68,0.7136305131359375,0.3782523175324797,1.2878658239984373,1211.0625,64,62,2,0
Agent33,0.69903459681875,0.48083196989422944,1.344464480576562,593.6875,64,59,5,0
Agent27,0.6927899030843749,0.4467953800022454,1.3736692929171874,394.703125,64,63,1,0
Agent32,0.6890405465328124,0.41011910287704295,1.2721580023421872,297.125,64,59,5,0
Agent41,0.6838843184093749,0.4273763296152187,1.29525506183125,826.515625,64,60,4,0
Agent3,0.6795651651265625,0.42929725293992693,1.3659629353046872,1272.15625,64,63,1,0
Agent2,0.6779616711281249,0.4181474408868929,1.334552868695312,1001.28125,64,62,2,0
Agent25,0.6764679833015622,0.25208055685967234,0.9326533979312502,1273.8125,64,44,20,0
LoneWolfAgent,0.6722098402609372,0.4817308144167767,1.3690555214281246,115.96875,64,59,5,0
Agent29,0.658919452823437,0.49882380695846673,1.434356034567187,628.015625,64,64,0,0
Agent67,0.6447636882359374,0.39858266057503067,1.2491296114812493,762.921875,64,59,5,0
Agent24,0.6182229571203124,0.3686320280776172,1.2037173312187504,1128.703125,64,57,7,0
Agent61,0.6177777977499999,0.4171046221192524,1.2764220501312498,976.734375,64,59,5,0
Agent18,0.6005450602187498,0.44961810162816973,1.247289948123437,781.96875,64,54,10,0
Agent64,0.5538505171906252,0.35500067259980644,1.1947831087281253,81.25,64,56,8,0
Agent14,0.5407437411624999,0.4293868536573594,1.2853211574624999,751.625,64,58,6,0
Agent22,0.4936111310265624,0.4169333961728885,1.3593811399156253,546.53125,64,64,0,0
