,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.7386450876796872,0.2696955742802895,1.0126094750937504,1294.59375,64,48,16,0
Agent32,0.7166956706375002,0.413034741842092,1.294806236440625,303.796875,64,60,4,0
Agent27,0.692651008071875,0.4416962884950451,1.3635966162406243,394.890625,64,63,1,0
Agent68,0.6852360645515624,0.37290031589204264,1.233375126253125,1232.765625,64,59,5,0
Agent2,0.6712009552671874,0.4055616784693738,1.3426586704031243,1056.71875,64,64,0,0
Agent33,0.6701163205578126,0.4791039811435198,1.3310742134796871,569.109375,64,58,6,0
Agent41,0.6605578455250001,0.4355561698506933,1.2897139949999994,834.984375,64,59,5,0
Agent24,0.65365651485625,0.3624768923999707,1.2291575523500002,1094.078125,64,59,5,0
WolfpackAgent,0.6467863328828124,0.4682533354298376,1.3559632078796873,115.21875,64,59,5,0
Agent29,0.6363546921015621,0.476715996123137,1.4100530956421873,640.0625,64,64,0,0
Agent67,0.6287114804421873,0.3982631098761753,1.2438902045734375,776.625,64,58,6,0
Agent18,0.6278409243734374,0.46212580865811664,1.3031270489125004,778.484375,64,57,7,0
Agent3,0.6249186553453122,0.39593210372420373,1.2967376056593751,1387.03125,64,61,3,0
Agent61,0.5969310011140624,0.40786109507506874,1.257650792842187,971.015625,64,59,5,0
Agent14,0.5663103006593749,0.4423198577125107,1.2739185422031245,731.53125,64,56,8,0
Agent64,0.5522164984624999,0.3257794078623899,1.1684182729250001,82.8125,64,56,8,0
Agent22,0.5196359779578122,0.4285403525031955,1.3701800050734378,553.84375,64,64,0,0
